time,mean_capacity,void_fraction,lcc_fraction
0.0,7.352060317993164,0.0,1.0
50.04,7.352029657363891,4.166666666666667e-06,1.0
99.99,7.352026253938675,4.62962962962963e-06,1.0
150.03,7.352026253938675,4.62962962962963e-06,1.0
