gamma_phi,omega,k_fac,r2,k_gamma_product
4.0,1.0,0.2710926964415018,0.9996554346215146,1.0843707857660072
6.0,1.0,0.16409229594356756,0.9986534764800153,0.9845537756614053
8.0,1.0,0.12671746328861463,0.999597761432147,1.013739706308917
12.0,1.0,0.0851454916831557,0.9987981584780105,1.0217459001978684
16.0,1.0,0.06395246585299041,0.9990927643034465,1.0232394536478466
24.0,1.0,0.04103833921113849,0.9989906328217989,0.9849201410673237
32.0,1.0,0.03284446093810346,0.9983967154848763,1.0510227500193108
48.0,1.0,0.020225370738956375,0.9989280358165024,0.970817795469906
64.0,1.0,0.01595728620650942,0.9993035494418832,1.0212663172166028
