omega,gamma_phi,k_fac,r2,k_over_omega2
0.5,32.0,0.007547363718568762,0.9993041644061557,0.03018945487427505
0.7,32.0,0.015217427290891044,0.9992908024538041,0.031055974063042953
1.0,32.0,0.03153891799879888,0.9971882788520156,0.03153891799879888
1.4,32.0,0.06686456188101425,0.9975865539677066,0.034114572388272583
2.0,32.0,0.1311777062534556,0.9993107880712404,0.0327944265633639
