lambda_fac,delta,delta_err,eta,eta_err,delta_eff_mean,delta_eff_std,curvature_rms,final_P_surv,t_min,t_max
1.96,1.161587090935263,0.005680222988053459,-0.06747809649011213,0.005851719960794288,1.3838736440403656,1.8684525709389979,0.12222054425452232,0.0,2.0,70.0
2.0,0.8823418259070104,0.0028397541105925415,0.010915054676380116,0.003676916722887129,0.8977830349529898,1.0898395064262156,0.06110258235910844,0.004375,2.0,70.0
2.008,0.7752298139154179,0.0017656726627549527,-0.019393624990937493,0.00463482791693854,0.695769192818099,0.7720114793565086,0.03799172572469621,0.01,2.0,70.0
2.04,0.5467166792287467,0.003198119812598032,0.1640250120600807,0.0042792219221380766,0.42850584510022577,0.43570312465681593,0.0688134858277544,0.03625,2.0,70.0
2.14,0.19766959794315592,0.003965894290367868,0.5124135760832369,0.01399576084318485,0.11147257291436369,0.17505335773700267,0.08533357927040953,0.105625,2.0,70.0
