gamma_loss,delta,delta_err,eta,eta_err,delta_eff_mean,delta_eff_std,curvature_rms,final_P_surv,t_min,t_max
0.0001,0.7417080153519694,0.0030760058391818453,0.0445130899707934,0.004969939192106122,0.7401960158641968,1.1331141228204413,0.06618597695646566,0.01125,2.0,70.0
0.001,0.6585295971038807,0.0040887376666428775,0.13421557742624884,0.005197714004178362,0.5398850806483264,0.8140846870826969,0.08797678259851341,0.01625,2.0,70.0
0.01,0.8672014434932055,0.004346482453562845,-0.06226464506979212,0.008882860866622126,0.9624101575920558,1.6632079959605481,0.09352264025276008,0.0025,2.0,70.0
0.1,1.946683342047066,0.024623360646944842,-0.2562822984339407,0.01351991569078433,2.1133145238776208,5.269537379924269,0.45350642313337675,0.0,2.0,70.0
1.0,3.7043346872048173,0.10613741259881869,-2.8239843711733976,0.15865592676877677,3.5117209347893645,2.194302251860968,0.2908796224495185,0.0,2.0,70.0
